"filename", "language", "Go Module File", "Go", "Go Checksum File", "Markdown", "MS SQL", "comment", "blank", "total"
"/home/user/rssread/go/crawler/go/controller/WorkController.md", "Markdown", 0, 0, 0, 7, 0, 0, 1, 8
"/home/user/rssread/go/crawler/go/controller/addController.go", "Go", 0, 52, 0, 0, 0, 2, 3, 57
"/home/user/rssread/go/crawler/go/controller/route.go", "Go", 0, 30, 0, 0, 0, 5, 6, 41
"/home/user/rssread/go/crawler/go/controller/seachController.go", "Go", 0, 31, 0, 0, 0, 1, 2, 34
"/home/user/rssread/go/crawler/go/controller/showController.go", "Go", 0, 36, 0, 0, 0, 1, 2, 39
"/home/user/rssread/go/crawler/go/controller/showDetail.go", "Go", 0, 43, 0, 0, 0, 1, 4, 48
"/home/user/rssread/go/crawler/go/controller/workController.go", "Go", 0, 59, 0, 0, 0, 5, 15, 79
"/home/user/rssread/go/crawler/go/controller/work_test.go", "Go", 0, 12, 0, 0, 0, 0, 5, 17
"/home/user/rssread/go/crawler/go/dao/create.go", "Go", 0, 9, 0, 0, 0, 0, 1, 10
"/home/user/rssread/go/crawler/go/dao/create_test.go", "Go", 0, 18, 0, 0, 0, 0, 3, 21
"/home/user/rssread/go/crawler/go/dao/delete_test.go", "Go", 0, 12, 0, 0, 0, 0, 2, 14
"/home/user/rssread/go/crawler/go/dao/query.go", "Go", 0, 86, 0, 0, 0, 7, 5, 98
"/home/user/rssread/go/crawler/go/dao/queryDetail_test.go", "Go", 0, 28, 0, 0, 0, 0, 3, 31
"/home/user/rssread/go/crawler/go/dao/querySeach_test.go", "Go", 0, 27, 0, 0, 0, 0, 1, 28
"/home/user/rssread/go/crawler/go/dao/queryTime.go", "Go", 0, 9, 0, 0, 0, 1, 1, 11
"/home/user/rssread/go/crawler/go/dao/queryTime_test.go", "Go", 0, 16, 0, 0, 0, 0, 2, 18
"/home/user/rssread/go/crawler/go/dao/queryurl_test.go", "Go", 0, 18, 0, 0, 0, 0, 1, 19
"/home/user/rssread/go/crawler/go/dao/update.go", "Go", 0, 27, 0, 0, 0, 1, 2, 30
"/home/user/rssread/go/crawler/go/data/rss.db", "MS SQL", 0, 0, 0, 0, 2350, 0, 27, 2377
"/home/user/rssread/go/crawler/go/data/test.db", "MS SQL", 0, 0, 0, 0, 4413, 0, 63, 4476
"/home/user/rssread/go/crawler/go/data/test2.db", "MS SQL", 0, 0, 0, 0, 1736, 0, 19, 1755
"/home/user/rssread/go/crawler/go/detect/Rss2.0.go", "Go", 0, 38, 0, 0, 0, 0, 4, 42
"/home/user/rssread/go/crawler/go/detect/crawler.go", "Go", 0, 24, 0, 0, 0, 1, 4, 29
"/home/user/rssread/go/crawler/go/detect/dealTime.go", "Go", 0, 32, 0, 0, 0, 3, 5, 40
"/home/user/rssread/go/crawler/go/detect/dealTime_test.go", "Go", 0, 8, 0, 0, 0, 0, 4, 12
"/home/user/rssread/go/crawler/go/detect/detect.go", "Go", 0, 60, 0, 0, 0, 3, 8, 71
"/home/user/rssread/go/crawler/go/go.mod", "Go Module File", 26, 0, 0, 0, 0, 0, 4, 30
"/home/user/rssread/go/crawler/go/go.sum", "Go Checksum File", 0, 0, 44, 0, 0, 0, 1, 45
"/home/user/rssread/go/crawler/go/main.go", "Go", 0, 20, 0, 0, 0, 3, 5, 28
"/home/user/rssread/go/crawler/go/model/RssFeed.go", "Go", 0, 38, 0, 0, 0, 0, 6, 44
"/home/user/rssread/go/crawler/go/model/add.go", "Go", 0, 4, 0, 0, 0, 0, 1, 5
"/home/user/rssread/go/crawler/go/model/context.go", "Go", 0, 7, 0, 0, 0, 0, 1, 8
"/home/user/rssread/go/crawler/go/model/db.go", "Go", 0, 25, 0, 0, 0, 2, 3, 30
"/home/user/rssread/go/crawler/go/model/result.go", "Go", 0, 20, 0, 0, 0, 0, 1, 21
"/home/user/rssread/go/crawler/go/model/show.go", "Go", 0, 14, 0, 0, 0, 0, 1, 15
"/home/user/rssread/go/crawler/go/pkg/DBInIt.go", "Go", 0, 22, 0, 0, 0, 1, 6, 29
"/home/user/rssread/go/crawler/go/pkg/redis.go", "Go", 0, 18, 0, 0, 0, 0, 2, 20
"/home/user/rssread/go/crawler/go/read.md", "Markdown", 0, 0, 0, 2, 0, 0, 2, 4
"/home/user/rssread/go/crawler/go/service/addService_test.go", "Go", 0, 29, 0, 0, 0, 0, 4, 33
"/home/user/rssread/go/crawler/go/service/addservice.go", "Go", 0, 52, 0, 0, 0, 6, 7, 65
"/home/user/rssread/go/crawler/go/service/detailService.go", "Go", 0, 26, 0, 0, 0, 0, 3, 29
"/home/user/rssread/go/crawler/go/service/showService.go", "Go", 0, 30, 0, 0, 0, 1, 7, 38
"/home/user/rssread/go/crawler/go/service/workService.go", "Go", 0, 50, 0, 0, 0, 1, 2, 53
"/home/user/rssread/go/crawler/go/service/workservice_test.go", "Go", 0, 13, 0, 0, 0, 0, 3, 16
"/home/user/rssread/go/crawler/go/think/time.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 8
"Total", "-", 26, 1043, 44, 17, 8499, 45, 252, 9926
