"filename", "language", "Go Module File", "Go", "Markdown", "Go Checksum File", "MS SQL", "comment", "blank", "total"
"/home/user/rssread/go/crawler/go/controller/addController.go", "Go", 0, 54, 0, 0, 0, 1, 4, 59
"/home/user/rssread/go/crawler/go/controller/route.go", "Go", 0, 30, 0, 0, 0, 5, 6, 41
"/home/user/rssread/go/crawler/go/controller/seachController.go", "Go", 0, 31, 0, 0, 0, 1, 2, 34
"/home/user/rssread/go/crawler/go/controller/showController.go", "Go", 0, 26, 0, 0, 0, 0, 5, 31
"/home/user/rssread/go/crawler/go/controller/showDetail.go", "Go", 0, 36, 0, 0, 0, 1, 4, 41
"/home/user/rssread/go/crawler/go/controller/workController.go", "Go", 0, 58, 0, 0, 0, 5, 7, 70
"/home/user/rssread/go/crawler/go/controller/work_test.go", "Go", 0, 12, 0, 0, 0, 0, 3, 15
"/home/user/rssread/go/crawler/go/dao/Init.go", "Go", 0, 18, 0, 0, 0, 1, 5, 24
"/home/user/rssread/go/crawler/go/dao/create.go", "Go", 0, 9, 0, 0, 0, 0, 1, 10
"/home/user/rssread/go/crawler/go/dao/create_test.go", "Go", 0, 16, 0, 0, 0, 0, 4, 20
"/home/user/rssread/go/crawler/go/dao/delete_test.go", "Go", 0, 10, 0, 0, 0, 0, 3, 13
"/home/user/rssread/go/crawler/go/dao/query.go", "Go", 0, 69, 0, 0, 0, 4, 3, 76
"/home/user/rssread/go/crawler/go/dao/queryDetail_test.go", "Go", 0, 25, 0, 0, 0, 0, 3, 28
"/home/user/rssread/go/crawler/go/dao/querySeach_test.go", "Go", 0, 25, 0, 0, 0, 0, 1, 26
"/home/user/rssread/go/crawler/go/dao/update.go", "Go", 0, 27, 0, 0, 0, 1, 2, 30
"/home/user/rssread/go/crawler/go/data/rss.db", "MS SQL", 0, 0, 0, 0, 2050, 0, 19, 2069
"/home/user/rssread/go/crawler/go/data/test.db", "MS SQL", 0, 0, 0, 0, 1908, 0, 21, 1929
"/home/user/rssread/go/crawler/go/detect/Rss2.0.go", "Go", 0, 38, 0, 0, 0, 0, 4, 42
"/home/user/rssread/go/crawler/go/detect/crawler.go", "Go", 0, 24, 0, 0, 0, 1, 4, 29
"/home/user/rssread/go/crawler/go/detect/dealTime.go", "Go", 0, 28, 0, 0, 0, 2, 4, 34
"/home/user/rssread/go/crawler/go/detect/dealTime_test.go", "Go", 0, 7, 0, 0, 0, 0, 2, 9
"/home/user/rssread/go/crawler/go/detect/detect.go", "Go", 0, 60, 0, 0, 0, 3, 8, 71
"/home/user/rssread/go/crawler/go/go.mod", "Go Module File", 22, 0, 0, 0, 0, 0, 4, 26
"/home/user/rssread/go/crawler/go/go.sum", "Go Checksum File", 0, 0, 0, 36, 0, 0, 1, 37
"/home/user/rssread/go/crawler/go/main.go", "Go", 0, 14, 0, 0, 0, 3, 3, 20
"/home/user/rssread/go/crawler/go/model/RssFeed.go", "Go", 0, 38, 0, 0, 0, 0, 6, 44
"/home/user/rssread/go/crawler/go/model/add.go", "Go", 0, 4, 0, 0, 0, 0, 1, 5
"/home/user/rssread/go/crawler/go/model/context.go", "Go", 0, 7, 0, 0, 0, 0, 1, 8
"/home/user/rssread/go/crawler/go/model/db.go", "Go", 0, 20, 0, 0, 0, 2, 3, 25
"/home/user/rssread/go/crawler/go/model/result.go", "Go", 0, 12, 0, 0, 0, 0, 0, 12
"/home/user/rssread/go/crawler/go/model/show.go", "Go", 0, 12, 0, 0, 0, 0, 2, 14
"/home/user/rssread/go/crawler/go/read.md", "Markdown", 0, 0, 2, 0, 0, 0, 2, 4
"/home/user/rssread/go/crawler/go/service/addService_test.go", "Go", 0, 27, 0, 0, 0, 0, 3, 30
"/home/user/rssread/go/crawler/go/service/addservice.go", "Go", 0, 35, 0, 0, 0, 2, 4, 41
"/home/user/rssread/go/crawler/go/service/detailService.go", "Go", 0, 22, 0, 0, 0, 0, 3, 25
"/home/user/rssread/go/crawler/go/service/showService.go", "Go", 0, 23, 0, 0, 0, 0, 7, 30
"/home/user/rssread/go/crawler/go/service/workService.go", "Go", 0, 49, 0, 0, 0, 1, 2, 52
"/home/user/rssread/go/crawler/go/service/workservice_test.go", "Go", 0, 11, 0, 0, 0, 0, 2, 13
"Total", "-", 22, 877, 2, 36, 3958, 33, 159, 5087
